2019-04-02 09:03:47,992 p=7562 u=student |  ERROR! Incorrect options passed
2019-04-04 03:52:56,838 p=5275 u=student |  Thursday 04 April 2019  03:52:56 -0400 (0:00:09.826)       0:01:49.492 ******** 
2019-04-04 03:59:30,289 p=5562 u=student |  ERROR! 'delegate_to' is not a valid attribute for a Play

The error appears to be in '/home/student/ansible/linux/do447/create_gitlab_project.yml': line 1, column 3, but may
be elsewhere in the file depending on the exact syntax problem.

The offending line appears to be:


- name: Create GitLab projects
  ^ here

2019-04-04 03:59:48,880 p=5567 u=student |  playbook: create_gitlab_project.yml
2019-04-04 04:03:20,996 p=5275 u=student |  changed: [utility.lab.example.com]
2019-04-04 04:03:21,025 p=5275 u=student |  TASK [Get IPA "admin" user Kerberos credentials] ****************************************************************************************************************************
2019-04-04 04:03:21,025 p=5275 u=student |  Thursday 04 April 2019  04:03:21 -0400 (0:10:24.186)       0:12:13.679 ******** 
2019-04-04 04:03:21,931 p=5275 u=student |  ok: [utility.lab.example.com]
2019-04-04 04:03:21,957 p=5275 u=student |  TASK [Check existence of "development" hostgroup] ***************************************************************************************************************************
2019-04-04 04:03:21,957 p=5275 u=student |  Thursday 04 April 2019  04:03:21 -0400 (0:00:00.932)       0:12:14.612 ******** 
2019-04-04 04:03:24,024 p=5275 u=student |  fatal: [utility.lab.example.com]: FAILED! => {"changed": false, "cmd": ["ipa", "hostgroup-find", "development"], "delta": "0:00:01.362050", "end": "2019-04-04 08:03:23.926984", "msg": "non-zero return code", "rc": 1, "start": "2019-04-04 08:03:22.564934", "stderr": "", "stderr_lines": [], "stdout": "--------------------\n0 hostgroups matched\n--------------------\n----------------------------\nNumber of entries returned 0\n----------------------------", "stdout_lines": ["--------------------", "0 hostgroups matched", "--------------------", "----------------------------", "Number of entries returned 0", "----------------------------"]}
2019-04-04 04:03:24,025 p=5275 u=student |  ...ignoring
2019-04-04 04:03:24,050 p=5275 u=student |  TASK [Check existence of "testing" hostgroup] *******************************************************************************************************************************
2019-04-04 04:03:24,051 p=5275 u=student |  Thursday 04 April 2019  04:03:24 -0400 (0:00:02.093)       0:12:16.705 ******** 
2019-04-04 04:03:25,763 p=5275 u=student |  fatal: [utility.lab.example.com]: FAILED! => {"changed": false, "cmd": ["ipa", "hostgroup-find", "testing"], "delta": "0:00:00.964118", "end": "2019-04-04 08:03:25.660929", "msg": "non-zero return code", "rc": 1, "start": "2019-04-04 08:03:24.696811", "stderr": "", "stderr_lines": [], "stdout": "--------------------\n0 hostgroups matched\n--------------------\n----------------------------\nNumber of entries returned 0\n----------------------------", "stdout_lines": ["--------------------", "0 hostgroups matched", "--------------------", "----------------------------", "Number of entries returned 0", "----------------------------"]}
2019-04-04 04:03:25,764 p=5275 u=student |  ...ignoring
2019-04-04 04:03:25,790 p=5275 u=student |  TASK [Check existence of "production" hostgroup] ****************************************************************************************************************************
2019-04-04 04:03:25,791 p=5275 u=student |  Thursday 04 April 2019  04:03:25 -0400 (0:00:01.740)       0:12:18.445 ******** 
2019-04-04 04:03:27,740 p=5275 u=student |  fatal: [utility.lab.example.com]: FAILED! => {"changed": false, "cmd": ["ipa", "hostgroup-find", "production"], "delta": "0:00:01.210181", "end": "2019-04-04 08:03:27.617191", "msg": "non-zero return code", "rc": 1, "start": "2019-04-04 08:03:26.407010", "stderr": "", "stderr_lines": [], "stdout": "--------------------\n0 hostgroups matched\n--------------------\n----------------------------\nNumber of entries returned 0\n----------------------------", "stdout_lines": ["--------------------", "0 hostgroups matched", "--------------------", "----------------------------", "Number of entries returned 0", "----------------------------"]}
2019-04-04 04:03:27,741 p=5275 u=student |  ...ignoring
2019-04-04 04:03:27,768 p=5275 u=student |  TASK [Create "development" hostgroup] ***************************************************************************************************************************************
2019-04-04 04:03:27,769 p=5275 u=student |  Thursday 04 April 2019  04:03:27 -0400 (0:00:01.977)       0:12:20.423 ******** 
2019-04-04 04:03:29,767 p=5275 u=student |  changed: [utility.lab.example.com]
2019-04-04 04:03:29,792 p=5275 u=student |  TASK [Create "testing" hostgroup] *******************************************************************************************************************************************
2019-04-04 04:03:29,793 p=5275 u=student |  Thursday 04 April 2019  04:03:29 -0400 (0:00:02.024)       0:12:22.448 ******** 
2019-04-04 04:03:31,726 p=5275 u=student |  changed: [utility.lab.example.com]
2019-04-04 04:03:31,754 p=5275 u=student |  TASK [Create "production" hostgroup] ****************************************************************************************************************************************
2019-04-04 04:03:31,754 p=5275 u=student |  Thursday 04 April 2019  04:03:31 -0400 (0:00:01.960)       0:12:24.409 ******** 
2019-04-04 04:03:33,804 p=5275 u=student |  changed: [utility.lab.example.com]
2019-04-04 04:03:33,828 p=5275 u=student |  TASK [Create GitLab user in FreeIPA for integration] ************************************************************************************************************************
2019-04-04 04:03:33,829 p=5275 u=student |  Thursday 04 April 2019  04:03:33 -0400 (0:00:02.074)       0:12:26.483 ******** 
2019-04-04 04:03:33,860 p=5275 u=student |  fatal: [utility.lab.example.com]: FAILED! => {"msg": "The task includes an option with an undefined variable. The error was: 'ipa_server' is undefined\n\nThe error appears to be in '/home/student/ansible/linux/do447/create_ipa_server.yml': line 126, column 7, but may\nbe elsewhere in the file depending on the exact syntax problem.\n\nThe offending line appears to be:\n\n\n    - name: Create GitLab user in FreeIPA for integration\n      ^ here\n"}
2019-04-04 04:03:33,865 p=5275 u=student |  PLAY RECAP ******************************************************************************************************************************************************************
2019-04-04 04:03:33,865 p=5275 u=student |  utility.lab.example.com    : ok=16   changed=5    unreachable=0    failed=1    skipped=0    rescued=0    ignored=3   
2019-04-04 04:03:33,866 p=5275 u=student |  Thursday 04 April 2019  04:03:33 -0400 (0:00:00.037)       0:12:26.521 ******** 
2019-04-04 04:03:33,867 p=5275 u=student |  =============================================================================== 
2019-04-04 04:03:33,868 p=5275 u=student |  Set up FreeIPA server (may take some time to run) ------------------------------------------------------------------------------------------------------------------ 624.19s
2019-04-04 04:03:33,868 p=5275 u=student |  FreeIPA server packages installed ----------------------------------------------------------------------------------------------------------------------------------- 88.07s
2019-04-04 04:03:33,869 p=5275 u=student |  Remove the current FreeIPA server ------------------------------------------------------------------------------------------------------------------------------------ 9.83s
2019-04-04 04:03:33,870 p=5275 u=student |  Enable firewall services for FreeIPA in public zone ------------------------------------------------------------------------------------------------------------------ 4.02s
2019-04-04 04:03:33,870 p=5275 u=student |  Gathering Facts ------------------------------------------------------------------------------------------------------------------------------------------------------ 2.95s
2019-04-04 04:03:33,870 p=5275 u=student |  Check existence of "development" hostgroup --------------------------------------------------------------------------------------------------------------------------- 2.09s
2019-04-04 04:03:33,871 p=5275 u=student |  Create "production" hostgroup ---------------------------------------------------------------------------------------------------------------------------------------- 2.07s
2019-04-04 04:03:33,871 p=5275 u=student |  Create "development" hostgroup --------------------------------------------------------------------------------------------------------------------------------------- 2.02s
2019-04-04 04:03:33,872 p=5275 u=student |  Check existence of "production" hostgroup ---------------------------------------------------------------------------------------------------------------------------- 1.98s
2019-04-04 04:03:33,872 p=5275 u=student |  Create "testing" hostgroup ------------------------------------------------------------------------------------------------------------------------------------------- 1.96s
2019-04-04 04:03:33,873 p=5275 u=student |  Check existence of "testing" hostgroup ------------------------------------------------------------------------------------------------------------------------------- 1.74s
2019-04-04 04:03:33,873 p=5275 u=student |  firewalld is enabled and started ------------------------------------------------------------------------------------------------------------------------------------- 1.67s
2019-04-04 04:03:33,874 p=5275 u=student |  /etc/hosts 127.0.0.1 should not resolve to FQDN ---------------------------------------------------------------------------------------------------------------------- 1.13s
2019-04-04 04:03:33,874 p=5275 u=student |  rngd service running to avoid install blocking on entropy issues ----------------------------------------------------------------------------------------------------- 0.93s
2019-04-04 04:03:33,875 p=5275 u=student |  Get IPA "admin" user Kerberos credentials ---------------------------------------------------------------------------------------------------------------------------- 0.93s
2019-04-04 04:03:33,875 p=5275 u=student |  FQDN resolves to default IPv4 address in /etc/hosts ------------------------------------------------------------------------------------------------------------------ 0.80s
2019-04-04 04:03:33,876 p=5275 u=student |  Create GitLab user in FreeIPA for integration ------------------------------------------------------------------------------------------------------------------------ 0.04s
2019-04-04 04:04:02,197 p=5710 u=student |  ERROR! Syntax Error while loading YAML.
  did not find expected key

The error appears to be in '/home/student/ansible/linux/do447/freeipa_users.yml': line 9, column 5, but may
be elsewhere in the file depending on the exact syntax problem.

The offending line appears to be:


    - name: Create GitLab user in FreeIPA for integration
    ^ here

2019-04-04 04:04:30,987 p=5725 u=student |  PLAY [Create needed user accounts in IDM to be used by GitLab] **************************************************************************************************************
2019-04-04 04:04:31,006 p=5725 u=student |  TASK [Gathering Facts] ******************************************************************************************************************************************************
2019-04-04 04:04:31,006 p=5725 u=student |  Thursday 04 April 2019  04:04:31 -0400 (0:00:00.080)       0:00:00.080 ******** 
2019-04-04 04:04:33,139 p=5725 u=student |  ok: [utility.lab.example.com]
2019-04-04 04:04:33,192 p=5725 u=student |  TASK [Create GitLab user in FreeIPA for integration] ************************************************************************************************************************
2019-04-04 04:04:33,192 p=5725 u=student |  Thursday 04 April 2019  04:04:33 -0400 (0:00:02.186)       0:00:02.266 ******** 
2019-04-04 04:04:33,237 p=5725 u=student |  fatal: [utility.lab.example.com]: FAILED! => {"msg": "The task includes an option with an undefined variable. The error was: 'dict object' has no attribute 'name'\n\nThe error appears to be in '/home/student/ansible/linux/do447/freeipa_users.yml': line 11, column 7, but may\nbe elsewhere in the file depending on the exact syntax problem.\n\nThe offending line appears to be:\n\n\n    - name: Create GitLab user in FreeIPA for integration\n      ^ here\n"}
2019-04-04 04:04:33,241 p=5725 u=student |  PLAY RECAP ******************************************************************************************************************************************************************
2019-04-04 04:04:33,242 p=5725 u=student |  utility.lab.example.com    : ok=1    changed=0    unreachable=0    failed=1    skipped=0    rescued=0    ignored=0   
2019-04-04 04:04:33,242 p=5725 u=student |  Thursday 04 April 2019  04:04:33 -0400 (0:00:00.049)       0:00:02.316 ******** 
2019-04-04 04:04:33,243 p=5725 u=student |  =============================================================================== 
2019-04-04 04:04:33,243 p=5725 u=student |  Gathering Facts ------------------------------------------------------------------------------------------------------------------------------------------------------ 2.19s
2019-04-04 04:04:33,243 p=5725 u=student |  Create GitLab user in FreeIPA for integration ------------------------------------------------------------------------------------------------------------------------ 0.05s
2019-04-04 04:09:11,190 p=5805 u=student |  PLAY [Create needed user accounts in IDM to be used by GitLab] **************************************************************************************************************
2019-04-04 04:09:11,206 p=5805 u=student |  TASK [Gathering Facts] ******************************************************************************************************************************************************
2019-04-04 04:09:11,207 p=5805 u=student |  Thursday 04 April 2019  04:09:11 -0400 (0:00:00.071)       0:00:00.071 ******** 
2019-04-04 04:09:13,947 p=5805 u=student |  ok: [utility.lab.example.com]
2019-04-04 04:09:13,977 p=5805 u=student |  TASK [Create GitLab user in FreeIPA for integration] ************************************************************************************************************************
2019-04-04 04:09:13,977 p=5805 u=student |  Thursday 04 April 2019  04:09:13 -0400 (0:00:02.770)       0:00:02.841 ******** 
2019-04-04 04:09:15,940 p=5805 u=student |  changed: [utility.lab.example.com] => (item={'key': 'git', 'value': {'givenname': 'Git', 'sn': 'Lab'}})
2019-04-04 04:09:17,321 p=5805 u=student |  changed: [utility.lab.example.com] => (item={'key': 'student', 'value': {'givenname': 'Student', 'sn': 'User'}})
2019-04-04 04:09:17,328 p=5805 u=student |  PLAY RECAP ******************************************************************************************************************************************************************
2019-04-04 04:09:17,329 p=5805 u=student |  utility.lab.example.com    : ok=2    changed=1    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2019-04-04 04:09:17,330 p=5805 u=student |  Thursday 04 April 2019  04:09:17 -0400 (0:00:03.352)       0:00:06.194 ******** 
2019-04-04 04:09:17,330 p=5805 u=student |  =============================================================================== 
2019-04-04 04:09:17,331 p=5805 u=student |  Create GitLab user in FreeIPA for integration ------------------------------------------------------------------------------------------------------------------------ 3.35s
2019-04-04 04:09:17,331 p=5805 u=student |  Gathering Facts ------------------------------------------------------------------------------------------------------------------------------------------------------ 2.77s
2019-04-04 04:53:03,182 p=6666 u=student |  PLAY [Create needed user accounts in IDM to be used by GitLab] **************************************************************************************************************
2019-04-04 04:53:03,198 p=6666 u=student |  TASK [Gathering Facts] ******************************************************************************************************************************************************
2019-04-04 04:53:03,198 p=6666 u=student |  Thursday 04 April 2019  04:53:03 -0400 (0:00:00.075)       0:00:00.075 ******** 
2019-04-04 04:53:06,288 p=6666 u=student |  ok: [utility.lab.example.com]
2019-04-04 04:53:06,320 p=6666 u=student |  TASK [Create GitLab user in FreeIPA for integration] ************************************************************************************************************************
2019-04-04 04:53:06,320 p=6666 u=student |  Thursday 04 April 2019  04:53:06 -0400 (0:00:03.121)       0:00:03.196 ******** 
2019-04-04 04:53:08,393 p=6666 u=student |  changed: [utility.lab.example.com] => (item={'key': 'git', 'value': {'givenname': 'Git', 'sn': 'Lab', 'pass': 'redhat321'}})
2019-04-04 04:53:09,932 p=6666 u=student |  changed: [utility.lab.example.com] => (item={'key': 'student', 'value': {'givenname': 'Student', 'sn': 'User', 'pass': 'student'}})
2019-04-04 04:53:09,961 p=6666 u=student |  TASK [Reconfigure GitLab] ***************************************************************************************************************************************************
2019-04-04 04:53:09,962 p=6666 u=student |  Thursday 04 April 2019  04:53:09 -0400 (0:00:03.641)       0:00:06.838 ******** 
2019-04-04 04:54:16,571 p=6666 u=student |  changed: [utility.lab.example.com]
2019-04-04 04:54:16,581 p=6666 u=student |  PLAY RECAP ******************************************************************************************************************************************************************
2019-04-04 04:54:16,581 p=6666 u=student |  utility.lab.example.com    : ok=3    changed=2    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2019-04-04 04:54:16,582 p=6666 u=student |  Thursday 04 April 2019  04:54:16 -0400 (0:01:06.619)       0:01:13.458 ******** 
2019-04-04 04:54:16,582 p=6666 u=student |  =============================================================================== 
2019-04-04 04:54:16,583 p=6666 u=student |  Reconfigure GitLab -------------------------------------------------------------------------------------------------------------------------------------------------- 66.62s
2019-04-04 04:54:16,583 p=6666 u=student |  Create GitLab user in FreeIPA for integration ------------------------------------------------------------------------------------------------------------------------ 3.64s
2019-04-04 04:54:16,584 p=6666 u=student |  Gathering Facts ------------------------------------------------------------------------------------------------------------------------------------------------------ 3.12s
2019-04-04 05:29:07,638 p=7194 u=student |  playbook: create_gitlab_project.yml
2019-04-04 05:29:19,758 p=7210 u=student |  PLAY [Create GitLab projects] ***********************************************************************************************************************************************
2019-04-04 05:29:19,773 p=7210 u=student |  TASK [Gathering Facts] ******************************************************************************************************************************************************
2019-04-04 05:29:19,773 p=7210 u=student |  Thursday 04 April 2019  05:29:19 -0400 (0:00:00.072)       0:00:00.072 ******** 
2019-04-04 05:29:22,724 p=7210 u=student |  ok: [utility.lab.example.com]
2019-04-04 05:29:22,762 p=7210 u=student |  TASK [Create do447 project] *************************************************************************************************************************************************
2019-04-04 05:29:22,763 p=7210 u=student |  Thursday 04 April 2019  05:29:22 -0400 (0:00:02.989)       0:00:03.062 ******** 
2019-04-04 05:29:23,277 p=7210 u=student |  fatal: [utility.lab.example.com]: FAILED! => {"changed": false, "module_stderr": "sudo: a password is required\n", "module_stdout": "", "msg": "MODULE FAILURE\nSee stdout/stderr for the exact error", "rc": 1}
2019-04-04 05:29:23,282 p=7210 u=student |  PLAY RECAP ******************************************************************************************************************************************************************
2019-04-04 05:29:23,282 p=7210 u=student |  utility.lab.example.com    : ok=1    changed=0    unreachable=0    failed=1    skipped=0    rescued=0    ignored=0   
2019-04-04 05:29:23,283 p=7210 u=student |  Thursday 04 April 2019  05:29:23 -0400 (0:00:00.520)       0:00:03.582 ******** 
2019-04-04 05:29:23,284 p=7210 u=student |  =============================================================================== 
2019-04-04 05:29:23,284 p=7210 u=student |  Gathering Facts ------------------------------------------------------------------------------------------------------------------------------------------------------ 2.99s
2019-04-04 05:29:23,284 p=7210 u=student |  Create do447 project ------------------------------------------------------------------------------------------------------------------------------------------------- 0.52s
2019-04-04 05:29:52,849 p=7248 u=student |  PLAY [Create GitLab projects] ***********************************************************************************************************************************************
2019-04-04 05:29:52,866 p=7248 u=student |  TASK [Gathering Facts] ******************************************************************************************************************************************************
2019-04-04 05:29:52,867 p=7248 u=student |  Thursday 04 April 2019  05:29:52 -0400 (0:00:00.074)       0:00:00.074 ******** 
2019-04-04 05:29:54,816 p=7248 u=student |  ok: [utility.lab.example.com]
2019-04-04 05:29:54,855 p=7248 u=student |  TASK [Create do447 project] *************************************************************************************************************************************************
2019-04-04 05:29:54,856 p=7248 u=student |  Thursday 04 April 2019  05:29:54 -0400 (0:00:01.989)       0:00:02.064 ******** 
2019-04-04 05:29:55,780 p=7248 u=student |  An exception occurred during task execution. To see the full traceback, use -vvv. The error was: ModuleNotFoundError: No module named 'gitlab'
2019-04-04 05:29:55,781 p=7248 u=student |  [DEPRECATION WARNING]: Param 'server_url' is deprecated. See the module docs for more information. This feature will be removed in version 2.1. Deprecation warnings can be 
disabled by setting deprecation_warnings=False in ansible.cfg.
2019-04-04 05:29:55,782 p=7248 u=student |  [DEPRECATION WARNING]: Param 'login_user' is deprecated. See the module docs for more information. This feature will be removed in version 2.1. Deprecation warnings can be 
disabled by setting deprecation_warnings=False in ansible.cfg.
2019-04-04 05:29:55,783 p=7248 u=student |  [DEPRECATION WARNING]: Param 'login_password' is deprecated. See the module docs for more information. This feature will be removed in version 2.1. Deprecation warnings can
 be disabled by setting deprecation_warnings=False in ansible.cfg.
2019-04-04 05:29:55,784 p=7248 u=student |  [DEPRECATION WARNING]: Aliases 'login_token' are deprecated. This feature will be removed in version 2.1. Deprecation warnings can be disabled by setting 
deprecation_warnings=False in ansible.cfg.
2019-04-04 05:29:55,786 p=7248 u=student |  fatal: [utility.lab.example.com]: FAILED! => {"changed": false, "msg": "Failed to import the required Python library (python-gitlab) on workstation.lab.example.com's Python /usr/libexec/platform-python. Please read module documentation and install in the appropriate location"}
2019-04-04 05:29:55,790 p=7248 u=student |  PLAY RECAP ******************************************************************************************************************************************************************
2019-04-04 05:29:55,791 p=7248 u=student |  utility.lab.example.com    : ok=1    changed=0    unreachable=0    failed=1    skipped=0    rescued=0    ignored=0   
2019-04-04 05:29:55,792 p=7248 u=student |  Thursday 04 April 2019  05:29:55 -0400 (0:00:00.935)       0:00:03.000 ******** 
2019-04-04 05:29:55,793 p=7248 u=student |  =============================================================================== 
2019-04-04 05:29:55,793 p=7248 u=student |  Gathering Facts ------------------------------------------------------------------------------------------------------------------------------------------------------ 1.99s
2019-04-04 05:29:55,794 p=7248 u=student |  Create do447 project ------------------------------------------------------------------------------------------------------------------------------------------------- 0.94s
2019-04-04 05:40:57,281 p=7432 u=student |  PLAY [Create GitLab projects] ***********************************************************************************************************************************************
2019-04-04 05:40:57,299 p=7432 u=student |  TASK [Gathering Facts] ******************************************************************************************************************************************************
2019-04-04 05:40:57,299 p=7432 u=student |  Thursday 04 April 2019  05:40:57 -0400 (0:00:00.079)       0:00:00.079 ******** 
2019-04-04 05:40:59,984 p=7432 u=student |  ok: [utility.lab.example.com]
2019-04-04 05:41:00,018 p=7432 u=student |  TASK [Create do447 project] *************************************************************************************************************************************************
2019-04-04 05:41:00,018 p=7432 u=student |  Thursday 04 April 2019  05:41:00 -0400 (0:00:02.718)       0:00:02.798 ******** 
2019-04-04 05:41:01,266 p=7432 u=student |  An exception occurred during task execution. To see the full traceback, use -vvv. The error was: ImportError: No module named gitlab
2019-04-04 05:41:01,267 p=7432 u=student |  [DEPRECATION WARNING]: Param 'login_user' is deprecated. See the module docs for more information. This feature will be removed in version 2.1. Deprecation warnings can be 
disabled by setting deprecation_warnings=False in ansible.cfg.
2019-04-04 05:41:01,268 p=7432 u=student |  [DEPRECATION WARNING]: Param 'login_password' is deprecated. See the module docs for more information. This feature will be removed in version 2.1. Deprecation warnings can
 be disabled by setting deprecation_warnings=False in ansible.cfg.
2019-04-04 05:41:01,269 p=7432 u=student |  [DEPRECATION WARNING]: Param 'server_url' is deprecated. See the module docs for more information. This feature will be removed in version 2.1. Deprecation warnings can be 
disabled by setting deprecation_warnings=False in ansible.cfg.
2019-04-04 05:41:01,270 p=7432 u=student |  [DEPRECATION WARNING]: Aliases 'login_token' are deprecated. This feature will be removed in version 2.1. Deprecation warnings can be disabled by setting 
deprecation_warnings=False in ansible.cfg.
2019-04-04 05:41:01,271 p=7432 u=student |  fatal: [utility.lab.example.com]: FAILED! => {"changed": false, "msg": "Failed to import the required Python library (python-gitlab) on utility.lab.example.com's Python /usr/bin/python. Please read module documentation and install in the appropriate location"}
2019-04-04 05:41:01,275 p=7432 u=student |  PLAY RECAP ******************************************************************************************************************************************************************
2019-04-04 05:41:01,275 p=7432 u=student |  utility.lab.example.com    : ok=1    changed=0    unreachable=0    failed=1    skipped=0    rescued=0    ignored=0   
2019-04-04 05:41:01,276 p=7432 u=student |  Thursday 04 April 2019  05:41:01 -0400 (0:00:01.257)       0:00:04.056 ******** 
2019-04-04 05:41:01,277 p=7432 u=student |  =============================================================================== 
2019-04-04 05:41:01,278 p=7432 u=student |  Gathering Facts ------------------------------------------------------------------------------------------------------------------------------------------------------ 2.72s
2019-04-04 05:41:01,278 p=7432 u=student |  Create do447 project ------------------------------------------------------------------------------------------------------------------------------------------------- 1.26s
2019-04-04 05:41:37,311 p=7481 u=student |  PLAY [Create GitLab projects] ***********************************************************************************************************************************************
2019-04-04 05:41:37,331 p=7481 u=student |  TASK [Gathering Facts] ******************************************************************************************************************************************************
2019-04-04 05:41:37,332 p=7481 u=student |  Thursday 04 April 2019  05:41:37 -0400 (0:00:00.099)       0:00:00.099 ******** 
2019-04-04 05:41:39,466 p=7481 u=student |  ok: [utility.lab.example.com]
2019-04-04 05:41:39,494 p=7481 u=student |  TASK [Create do447 project] *************************************************************************************************************************************************
2019-04-04 05:41:39,495 p=7481 u=student |  Thursday 04 April 2019  05:41:39 -0400 (0:00:02.163)       0:00:02.262 ******** 
2019-04-04 05:41:40,655 p=7481 u=student |  An exception occurred during task execution. To see the full traceback, use -vvv. The error was: ImportError: No module named gitlab
2019-04-04 05:41:40,657 p=7481 u=student |  [DEPRECATION WARNING]: Param 'login_user' is deprecated. See the module docs for more information. This feature will be removed in version 2.1. Deprecation warnings can be 
disabled by setting deprecation_warnings=False in ansible.cfg.
2019-04-04 05:41:40,658 p=7481 u=student |  [DEPRECATION WARNING]: Param 'login_password' is deprecated. See the module docs for more information. This feature will be removed in version 2.1. Deprecation warnings can
 be disabled by setting deprecation_warnings=False in ansible.cfg.
2019-04-04 05:41:40,658 p=7481 u=student |  [DEPRECATION WARNING]: Param 'server_url' is deprecated. See the module docs for more information. This feature will be removed in version 2.1. Deprecation warnings can be 
disabled by setting deprecation_warnings=False in ansible.cfg.
2019-04-04 05:41:40,659 p=7481 u=student |  [DEPRECATION WARNING]: Aliases 'login_token' are deprecated. This feature will be removed in version 2.1. Deprecation warnings can be disabled by setting 
deprecation_warnings=False in ansible.cfg.
2019-04-04 05:41:40,660 p=7481 u=student |  fatal: [utility.lab.example.com]: FAILED! => {"changed": false, "msg": "Failed to import the required Python library (python-gitlab) on utility.lab.example.com's Python /usr/bin/python. Please read module documentation and install in the appropriate location"}
2019-04-04 05:41:40,665 p=7481 u=student |  PLAY RECAP ******************************************************************************************************************************************************************
2019-04-04 05:41:40,666 p=7481 u=student |  utility.lab.example.com    : ok=1    changed=0    unreachable=0    failed=1    skipped=0    rescued=0    ignored=0   
2019-04-04 05:41:40,666 p=7481 u=student |  Thursday 04 April 2019  05:41:40 -0400 (0:00:01.171)       0:00:03.434 ******** 
2019-04-04 05:41:40,667 p=7481 u=student |  =============================================================================== 
2019-04-04 05:41:40,668 p=7481 u=student |  Gathering Facts ------------------------------------------------------------------------------------------------------------------------------------------------------ 2.16s
2019-04-04 05:41:40,669 p=7481 u=student |  Create do447 project ------------------------------------------------------------------------------------------------------------------------------------------------- 1.17s
2019-04-04 05:53:22,284 p=7801 u=student |  PLAY [Create GitLab projects] ***********************************************************************************************************************************************
2019-04-04 05:53:22,300 p=7801 u=student |  TASK [Gathering Facts] ******************************************************************************************************************************************************
2019-04-04 05:53:22,300 p=7801 u=student |  Thursday 04 April 2019  05:53:22 -0400 (0:00:00.073)       0:00:00.073 ******** 
2019-04-04 05:53:24,730 p=7801 u=student |  ok: [utility.lab.example.com]
2019-04-04 05:53:24,764 p=7801 u=student |  TASK [Create do447 project] *************************************************************************************************************************************************
2019-04-04 05:53:24,765 p=7801 u=student |  Thursday 04 April 2019  05:53:24 -0400 (0:00:02.464)       0:00:02.538 ******** 
2019-04-04 05:53:25,771 p=7801 u=student |  An exception occurred during task execution. To see the full traceback, use -vvv. The error was: AttributeError: module 'gitlab.exceptions' has no attribute 'GitlabAuthenticationError'
2019-04-04 05:53:25,772 p=7801 u=student |  fatal: [utility.lab.example.com]: FAILED! => {"changed": false, "module_stderr": "Traceback (most recent call last):\n  File \"/tmp/ansible_gitlab_project_payload_jww8fux1/__main__.py\", line 369, in main\nTypeError: __init__() got an unexpected keyword argument 'url'\n\nDuring handling of the above exception, another exception occurred:\n\nTraceback (most recent call last):\n  File \"/home/student/.ansible/tmp/ansible-tmp-1554371604.790952-4249841811828/AnsiballZ_gitlab_project.py\", line 114, in <module>\n    _ansiballz_main()\n  File \"/home/student/.ansible/tmp/ansible-tmp-1554371604.790952-4249841811828/AnsiballZ_gitlab_project.py\", line 106, in _ansiballz_main\n    invoke_module(zipped_mod, temp_path, ANSIBALLZ_PARAMS)\n  File \"/home/student/.ansible/tmp/ansible-tmp-1554371604.790952-4249841811828/AnsiballZ_gitlab_project.py\", line 49, in invoke_module\n    imp.load_module('__main__', mod, module, MOD_DESC)\n  File \"/usr/lib64/python3.6/imp.py\", line 235, in load_module\n    return load_source(name, filename, file)\n  File \"/usr/lib64/python3.6/imp.py\", line 170, in load_source\n    module = _exec(spec, sys.modules[name])\n  File \"<frozen importlib._bootstrap>\", line 618, in _exec\n  File \"<frozen importlib._bootstrap_external>\", line 678, in exec_module\n  File \"<frozen importlib._bootstrap>\", line 219, in _call_with_frames_removed\n  File \"/tmp/ansible_gitlab_project_payload_jww8fux1/__main__.py\", line 419, in <module>\n  File \"/tmp/ansible_gitlab_project_payload_jww8fux1/__main__.py\", line 371, in main\nAttributeError: module 'gitlab.exceptions' has no attribute 'GitlabAuthenticationError'\n", "module_stdout": "", "msg": "MODULE FAILURE\nSee stdout/stderr for the exact error", "rc": 1}
2019-04-04 05:53:25,776 p=7801 u=student |  PLAY RECAP ******************************************************************************************************************************************************************
2019-04-04 05:53:25,777 p=7801 u=student |  utility.lab.example.com    : ok=1    changed=0    unreachable=0    failed=1    skipped=0    rescued=0    ignored=0   
2019-04-04 05:53:25,778 p=7801 u=student |  Thursday 04 April 2019  05:53:25 -0400 (0:00:01.012)       0:00:03.551 ******** 
2019-04-04 05:53:25,778 p=7801 u=student |  =============================================================================== 
2019-04-04 05:53:25,779 p=7801 u=student |  Gathering Facts ------------------------------------------------------------------------------------------------------------------------------------------------------ 2.46s
2019-04-04 05:53:25,779 p=7801 u=student |  Create do447 project ------------------------------------------------------------------------------------------------------------------------------------------------- 1.01s
2019-04-04 05:55:27,709 p=7888 u=student |  PLAY [Create GitLab projects] ***********************************************************************************************************************************************
2019-04-04 05:55:27,749 p=7888 u=student |  TASK [Gathering Facts] ******************************************************************************************************************************************************
2019-04-04 05:55:27,750 p=7888 u=student |  Thursday 04 April 2019  05:55:27 -0400 (0:00:00.112)       0:00:00.112 ******** 
2019-04-04 05:55:30,323 p=7888 u=student |  ok: [utility.lab.example.com]
2019-04-04 05:55:30,383 p=7888 u=student |  TASK [Create do447 project] *************************************************************************************************************************************************
2019-04-04 05:55:30,384 p=7888 u=student |  Thursday 04 April 2019  05:55:30 -0400 (0:00:02.634)       0:00:02.746 ******** 
